Flask,Red.Pop,White.Pop,Generation,Arabinose,R.0,W.0,R.3,W.3,Person,Day.0.Date,Replicate
1,REL 10948,Ara + 1,40000,Positive,66,80,72,21,1,10/9/14,
2,REL 10948,Ara + 2,40000,Positive,85,77,50,68,1,10/9/14,
3,REL 10948,Ara + 3,40000,Positive,98,80,39,57,1,10/9/14,
4,REL 10948,Ara + 4,40000,Positive,87,73,92,48,1,10/9/14,
5,REL 10948,Ara + 5,40000,Positive,89,57,59,48,1,10/9/14,
6,Ara - 1,REL 11648,40000,Negative,67,67,73,61,1,10/9/14,
7,Ara - 4,REL 11648,40000,Negative,65,87,55,53,1,10/9/14,
8,Ara - 5,REL 11648,40000,Negative,101,101,44,42,1,10/9/14,
9,Ara - 6,REL 11648,40000,Negative,102,99,65,46,1,10/9/14,
10,REL 10948,Ara + 1,50000,Positive,74,77,62,55,1,10/9/14,
11,REL 10948,Ara + 2,50000,Positive,82,49,34,53,1,10/9/14,
12,REL 10948,Ara + 3,50000,Positive,96,48,19,34,1,10/9/14,
13,REL 10948,Ara + 4,50000,Positive,92,70,36,36,1,10/9/14,
14,REL 10948,Ara + 5,50000,Positive,75,76,11,28,1,10/9/14,
15,Ara - 1,REL 11648,50000,Negative,45,71,35,23,1,10/9/14,
16,Ara - 4,REL 11648,50000,Negative,66,77,46,32,1,10/9/14,
17,Ara - 5,REL 11648,50000,Negative,74,89,47,55,1,10/9/14,
18,Ara - 6,REL 11648,50000,Negative,77,86,94,47,1,10/9/14,
19,REL 10948,Ara + 1,60000,Positive,76,88,80,53,1,10/9/14,
20,REL 10948,Ara + 2,60000,Positive,62,72,66,55,1,10/9/14,
21,REL 10948,Ara + 3,60000,Positive,85,41,34,43,1,10/9/14,
22,REL 10948,Ara + 4,60000,Positive,80,48,38,53,1,10/9/14,
23,REL 10948,Ara + 5,60000,Positive,83,66,37,44,1,10/9/14,
24,Ara - 1,REL 11648,60000,Negative,15,93,30,44,1,10/9/14,
25,Ara - 4,REL 11648,60000,Negative,27,92,26,32,1,10/9/14,
26,Ara - 5,REL 11648,60000,Negative,48,66,49,47,1,10/9/14,
27,Ara - 6,REL 11648,60000,Negative,39,61,100,67,1,10/9/14,
1,REL 10948,Ara + 1,40000,Positive,62,60,57,6,2,10/15/14,
2,REL 10948,Ara + 2,40000,Positive,81,61,56,47,2,10/15/14,
3,REL 10948,Ara + 3,40000,Positive,84,46,35,102,2,10/15/14,
4,REL 10948,Ara + 4,40000,Positive,74,42,113,41,2,10/15/14,
5,REL 10948,Ara + 5,40000,Positive,68,55,92,49,2,10/15/14,
6,Ara - 1,REL 11648,40000,Negative,41,66,28,56,2,10/15/14,
7,Ara - 4,REL 11648,40000,Negative,61,67,76,26,2,10/15/14,
8,Ara - 5,REL 11648,40000,Negative,73,70,92,84,2,10/15/14,
9,Ara - 6,REL 11648,40000,Negative,64,73,118,71,2,10/15/14,
10,REL 10948,Ara + 1,50000,Positive,73,56,109,38,2,10/15/14,
11,REL 10948,Ara + 2,50000,Positive,57,43,51,59,2,10/15/14,
12,REL 10948,Ara + 3,50000,Positive,85,31,29,40,2,10/15/14,
13,REL 10948,Ara + 4,50000,Positive,82,44,65,51,2,10/15/14,
14,REL 10948,Ara + 5,50000,Positive,94,65,62,61,2,10/15/14,
15,Ara - 1,REL 11648,50000,Negative,47,61,24,51,2,10/15/14,
16,Ara - 4,REL 11648,50000,Negative,48,69,58,31,2,10/15/14,
17,Ara - 5,REL 11648,50000,Negative,59,63,71,48,2,10/15/14,
18,Ara - 6,REL 11648,50000,Negative,82,59,107,72,2,10/15/14,
19,REL 10948,Ara + 1,60000,Positive,67,79,83,51,2,10/15/14,
20,REL 10948,Ara + 2,60000,Positive,60,43,48,24,2,10/15/14,
21,REL 10948,Ara + 3,60000,Positive,,,,,2,10/15/14,
22,REL 10948,Ara + 4,60000,Positive,68,37,74,47,2,10/15/14,
23,REL 10948,Ara + 5,60000,Positive,75,51,52,36,2,10/15/14,
24,Ara - 1,REL 11648,60000,Negative,41,74,72,21,2,10/15/14,
25,Ara - 4,REL 11648,60000,Negative,30,68,36,53,2,10/15/14,
26,Ara - 5,REL 11648,60000,Negative,58,80,30,51,2,10/15/14,
27,Ara - 6,REL 11648,60000,Negative,56,75,64,54,2,10/15/14,
1,REL 10948,Ara + 1,40000,Positive,86,77,175,28,3,10/29/14,
2,REL 10948,Ara + 2,40000,Positive,109,87,108,83,3,10/29/14,
3,REL 10948,Ara + 3,40000,Positive,95,74,75,83,3,10/29/14,
4,REL 10948,Ara + 4,40000,Positive,114,61,179,43,3,10/29/14,
5,REL 10948,Ara + 5,40000,Positive,112,85,135,51,3,10/29/14,
6,Ara - 1,REL 11648,40000,Negative,48,142,60,90,3,10/29/14,
7,Ara - 4,REL 11648,40000,Negative,88,109,126,120,3,10/29/14,
8,Ara - 5,REL 11648,40000,Negative,118,92,125,122,3,10/29/14,
9,Ara - 6,REL 11648,40000,Negative,67,51,107,64,3,10/29/14,
10,REL 10948,Ara + 1,50000,Positive,86,80,113,71,3,10/29/14,
11,REL 10948,Ara + 2,50000,Positive,91,86,78,80,3,10/29/14,
12,REL 10948,Ara + 3,50000,Positive,79,43,44,72,3,10/29/14,
13,REL 10948,Ara + 4,50000,Positive,121,76,126,44,3,10/29/14,
14,REL 10948,Ara + 5,50000,Positive,130,71,147,77,3,10/29/14,
15,Ara - 1,REL 11648,50000,Negative,24,110,44,58,3,10/29/14,
16,Ara - 4,REL 11648,50000,Negative,78,125,96,85,3,10/29/14,
17,Ara - 5,REL 11648,50000,Negative,84,115,80,82,3,10/29/14,
18,Ara - 6,REL 11648,50000,Negative,97,124,118,119,3,10/29/14,
19,REL 10948,Ara + 1,60000,Positive,93,88,112,92,3,10/29/14,
20,REL 10948,Ara + 2,60000,Positive,130,89,63,85,3,10/29/14,
21,REL 10948,Ara + 3,60000,Positive,85,40,53,105,3,10/29/14,
22,REL 10948,Ara + 4,60000,Positive,115,48,101,51,3,10/29/14,
23,REL 10948,Ara + 5,60000,Positive,117,89,166,54,3,10/29/14,
24,Ara - 1,REL 11648,60000,Negative,13,129,14,50,3,10/29/14,
25,Ara - 4,REL 11648,60000,Negative,69,103,89,64,3,10/29/14,
26,Ara - 5,REL 11648,60000,Negative,105,115,99,118,3,10/29/14,
27,Ara - 6,REL 11648,60000,Negative,68,116,120,104,3,10/29/14,
1,REL 10948,Ara + 1,40000,Positive,87,64,96,12,4,11/5/14,
2,REL 10948,Ara + 2,40000,Positive,74,34,82,30,4,11/5/14,
3,REL 10948,Ara + 3,40000,Positive,99,58,36,37,4,11/5/14,
4,REL 10948,Ara + 4,40000,Positive,75,42,51,13,4,11/5/14,
5,REL 10948,Ara + 5,40000,Positive,99,54,68,13,4,11/5/14,
6,Ara - 1,REL 11648,40000,Negative,61,98,41,43,4,11/5/14,
7,Ara - 4,REL 11648,40000,Negative,78,106,30,63,4,11/5/14,
8,Ara - 5,REL 11648,40000,Negative,115,121,61,44,4,11/5/14,
9,Ara - 6,REL 11648,40000,Negative,101,112,46,47,4,11/5/14,
10,REL 10948,Ara + 1,50000,Positive,82,64,82,43,4,11/5/14,
11,REL 10948,Ara + 2,50000,Positive,89,64,62,55,4,11/5/14,
12,REL 10948,Ara + 3,50000,Positive,114,51,27,36,4,11/5/14,
13,REL 10948,Ara + 4,50000,Positive,117,44,49,19,4,11/5/14,
14,REL 10948,Ara + 5,50000,Positive,80,25,38,13,4,11/5/14,
15,Ara - 1,REL 11648,50000,Negative,48,100,25,25,4,11/5/14,
16,Ara - 4,REL 11648,50000,Negative,51,84,13,77,4,11/5/14,
17,Ara - 5,REL 11648,50000,Negative,89,106,41,38,4,11/5/14,
18,Ara - 6,REL 11648,50000,Negative,112,105,64,25,4,11/5/14,
19,REL 10948,Ara + 1,60000,Positive,78,74,71,54,4,11/5/14,
20,REL 10948,Ara + 2,60000,Positive,76,36,37,13,4,11/5/14,
21,REL 10948,Ara + 3,60000,Positive,90,30,32,10,4,11/5/14,
22,REL 10948,Ara + 4,60000,Positive,98,31,44,40,4,11/5/14,
23,REL 10948,Ara + 5,60000,Positive,97,31,52,20,4,11/5/14,
24,Ara - 1,REL 11648,60000,Negative,36,121,3,59,4,11/5/14,
25,Ara - 4,REL 11648,60000,Negative,32,105,21,61,4,11/5/14,
26,Ara - 5,REL 11648,60000,Negative,80,100,31,33,4,11/5/14,
27,Ara - 6,REL 11648,60000,Negative,55,104,41,47,4,11/5/14,
1,REL 10948,Ara + 1,40000,Positive,114,104,120,21,5,11/4/14,
2,REL 10948,Ara + 2,40000,Positive,113,69,114,42,5,11/4/14,
3,REL 10948,Ara + 3,40000,Positive,92,66,43,65,5,11/4/14,
4,REL 10948,Ara + 4,40000,Positive,98,74,72,62,5,11/4/14,
5,REL 10948,Ara + 5,40000,Positive,95,79,80,40,5,11/4/14,
6,Ara - 1,REL 11648,40000,Negative,39,105,69,69,5,11/4/14,
7,Ara - 4,REL 11648,40000,Negative,65,113,86,79,5,11/4/14,
8,Ara - 5,REL 11648,40000,Negative,88,94,88,115,5,11/4/14,
9,Ara - 6,REL 11648,40000,Negative,73,73,108,81,5,11/4/14,
10,REL 10948,Ara + 1,50000,Positive,76,83,165,33,5,11/4/14,
11,REL 10948,Ara + 2,50000,Positive,106,62,68,60,5,11/4/14,
12,REL 10948,Ara + 3,50000,Positive,94,76,38,74,5,11/4/14,
13,REL 10948,Ara + 4,50000,Positive,118,59,121,37,5,11/4/14,
14,REL 10948,Ara + 5,50000,Positive,98,79,99,49,5,11/4/14,
